"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","timeout","dev","Wed Jun 25 13:45:06 IST 2025","skipped","Wed Jun 25 13:45:06 IST 2025","","tests\autoWaiting.spec.ts","",""
"","1","Extracting values","dev","Wed Jun 25 13:45:44 IST 2025","skipped","Wed Jun 25 13:45:44 IST 2025","","tests\firstTest.spec.ts","",""
"","3","Reuse locatores","dev","Wed Jun 25 13:45:44 IST 2025","skipped","Wed Jun 25 13:45:44 IST 2025","","tests\firstTest.spec.ts","",""
"","3397","Parents locatore","dev","Wed Jun 25 13:45:28 IST 2025","failed","Wed Jun 25 13:45:32 IST 2025","","tests\firstTest.spec.ts","",""
"","3864","input fields","chromium","Wed Jun 25 13:45:28 IST 2025","passed","Wed Jun 25 13:45:32 IST 2025","","tests\testMobile.spec.ts","",""
"","20255","auto waiting","dev","Wed Jun 25 13:44:45 IST 2025","passed","Wed Jun 25 13:45:06 IST 2025","","tests\autoWaiting.spec.ts","",""
"","43","Fruit box labeling puzzle logic","chromium","Wed Jun 25 13:45:22 IST 2025","passed","Wed Jun 25 13:45:22 IST 2025","","logicalquestions.spec.ts","",""
"","5200","parameterized methods","chromium","Wed Jun 25 13:45:22 IST 2025","passed","Wed Jun 25 13:45:28 IST 2025","","testfixtures.spec.ts","",""
"","3131","User facing locators","dev","Wed Jun 25 13:45:07 IST 2025","failed","Wed Jun 25 13:45:11 IST 2025","","tests\firstTest.spec.ts","",""
"","3419","Dialog box","dev","Wed Jun 25 13:45:11 IST 2025","failed","Wed Jun 25 13:45:14 IST 2025","","tests\uiComponent.spec.ts","",""
"","31","Fruit box labeling puzzle logic","dev","Wed Jun 25 13:44:45 IST 2025","passed","Wed Jun 25 13:44:45 IST 2025","","logicalquestions.spec.ts","",""
"","3093","Lists and dropdowns","dev","Wed Jun 25 13:45:08 IST 2025","failed","Wed Jun 25 13:45:11 IST 2025","","tests\uiComponent.spec.ts","",""
"","8091","radio buttons","dev","Wed Jun 25 13:45:04 IST 2025","failed","Wed Jun 25 13:45:12 IST 2025","From Layouts Page","tests\uiComponent.spec.ts","",""
"","1","Reuse locatores","chromium","Wed Jun 25 13:45:44 IST 2025","skipped","Wed Jun 25 13:45:44 IST 2025","","tests\firstTest.spec.ts","",""
"","3132","input fields","dev","Wed Jun 25 13:44:52 IST 2025","failed","Wed Jun 25 13:44:55 IST 2025","","tests\testMobile.spec.ts","",""
"","8161","input fields","dev","Wed Jun 25 13:44:57 IST 2025","failed","Wed Jun 25 13:45:05 IST 2025","From Layouts Page","tests\uiComponent.spec.ts","",""
"","3130","User locator using child elements","dev","Wed Jun 25 13:45:20 IST 2025","failed","Wed Jun 25 13:45:23 IST 2025","","tests\firstTest.spec.ts","",""
"","0","Extracting values","firefox","Wed Jun 25 13:45:44 IST 2025","skipped","Wed Jun 25 13:45:44 IST 2025","","tests\firstTest.spec.ts","",""
"","1","Reuse locatores","firefox","Wed Jun 25 13:45:44 IST 2025","skipped","Wed Jun 25 13:45:44 IST 2025","","tests\firstTest.spec.ts","",""
"","3150","Checkboxes","dev","Wed Jun 25 13:45:07 IST 2025","failed","Wed Jun 25 13:45:11 IST 2025","","tests\uiComponent.spec.ts","",""
"","3238","tootips","dev","Wed Jun 25 13:45:15 IST 2025","failed","Wed Jun 25 13:45:18 IST 2025","","tests\uiComponent.spec.ts","",""
"","5666","Locator Elements","chromium","Wed Jun 25 13:45:32 IST 2025","passed","Wed Jun 25 13:45:37 IST 2025","","tests\firstTest.spec.ts","",""
"","4383","User facing locators","chromium","Wed Jun 25 13:45:38 IST 2025","passed","Wed Jun 25 13:45:42 IST 2025","","tests\firstTest.spec.ts","",""
"","0","Assertions","firefox","Wed Jun 25 13:45:44 IST 2025","skipped","Wed Jun 25 13:45:44 IST 2025","","tests\firstTest.spec.ts","",""
"","3201","Smart Tables","dev","Wed Jun 25 13:45:20 IST 2025","failed","Wed Jun 25 13:45:23 IST 2025","","tests\uiComponent.spec.ts","",""
"","3276","navigate to form page @smoke","dev","Wed Jun 25 13:45:25 IST 2025","failed","Wed Jun 25 13:45:28 IST 2025","","tests\usePageObjects.spec.ts","",""
"","3285","Slider","dev","Wed Jun 25 13:45:23 IST 2025","failed","Wed Jun 25 13:45:26 IST 2025","","tests\uiComponent.spec.ts","",""
"","1","Assertions","dev","Wed Jun 25 13:45:44 IST 2025","skipped","Wed Jun 25 13:45:44 IST 2025","","tests\firstTest.spec.ts","",""
"","9629","drag And Drop with iFrame","chromium","Wed Jun 25 13:45:30 IST 2025","passed","Wed Jun 25 13:45:40 IST 2025","","tests\dragAnddrop.spec.ts","",""
"","3447","parameterized methods","dev","Wed Jun 25 13:44:53 IST 2025","failed","Wed Jun 25 13:44:56 IST 2025","","testfixtures.spec.ts","",""
"","1","Extracting values","chromium","Wed Jun 25 13:45:44 IST 2025","skipped","Wed Jun 25 13:45:44 IST 2025","","tests\firstTest.spec.ts","",""
"","8394","drag And Drop with iFrame","dev","Wed Jun 25 13:44:45 IST 2025","passed","Wed Jun 25 13:44:54 IST 2025","","tests\dragAnddrop.spec.ts","",""
"","3231","Locator Elements","dev","Wed Jun 25 13:44:52 IST 2025","failed","Wed Jun 25 13:44:55 IST 2025","","tests\firstTest.spec.ts","",""
"","2","Assertions","chromium","Wed Jun 25 13:45:44 IST 2025","skipped","Wed Jun 25 13:45:44 IST 2025","","tests\firstTest.spec.ts","",""
"","0","alternative waits","dev","Wed Jun 25 13:45:06 IST 2025","skipped","Wed Jun 25 13:45:06 IST 2025","","tests\autoWaiting.spec.ts","",""
"","3157","Date Picker","dev","Wed Jun 25 13:45:22 IST 2025","failed","Wed Jun 25 13:45:25 IST 2025","","tests\uiComponent.spec.ts","",""
